matchId,playerId,minsPlayed
918893,59966,95
918909,59966,78
918917,59966,32
918923,59966,74
918934,59966,66
918943,59966,82
918954,59966,71
918972,59966,68
918974,59966,77
918984,59966,81
918996,59966,39
919004,59966,73
919013,59966,78
919024,59966,45
919034,59966,96
919049,59966,72
919058,59966,11
919064,59966,72
919073,59966,94
919085,59966,74
919102,59966,95
919103,59966,80
919113,59966,95
919123,59966,94
919134,59966,93
919161,59966,31
919203,59966,33
919214,59966,26
919228,59966,93
919234,59966,94
919254,59966,72
919265,59966,94
918893,156074,67
918917,156074,93
918954,156074,93
918972,156074,10
918984,156074,15
919103,156074,94
919113,156074,95
919184,156074,93
919214,156074,23
919228,156074,93
919196,156074,95
919265,156074,94
918893,37605,95
918909,37605,95
918917,37605,93
918923,37605,93
918943,37605,10
918972,37605,34
918974,37605,82
918984,37605,93
918996,37605,95
919004,37605,84
919024,37605,93
919034,37605,96
919049,37605,94
919058,37605,93
919064,37605,95
919073,37605,94
919085,37605,94
919103,37605,94
919123,37605,72
919134,37605,93
919144,37605,92
919161,37605,95
919164,37605,92
919173,37605,97
919184,37605,93
919203,37605,94
918893,153256,66
918934,153256,20
918943,153256,93
918954,153256,11
918972,153256,95
919123,153256,94
919134,153256,60
919161,153256,64
919184,153256,93
919203,153256,76
919214,153256,93
919228,153256,93
919234,153256,44
918893,98745,95
918909,98745,95
918917,98745,93
918923,98745,93
918934,98745,100
918943,98745,93
918954,98745,93
918972,98745,95
918974,98745,96
918984,98745,93
918996,98745,95
919004,98745,94
919013,98745,93
919024,98745,93
919034,98745,96
919049,98745,94
919058,98745,93
919064,98745,95
919073,98745,94
919085,98745,94
919102,98745,95
919103,98745,94
919113,98745,95
919123,98745,94
919134,98745,93
919144,98745,92
919161,98745,95
919164,98745,92
919173,98745,15
919203,98745,94
919214,98745,74
919234,98745,94
919247,98745,95
919254,98745,90
919265,98745,94
918893,95658,95
918906,95658,95
918918,95658,95
918927,95658,94
918936,95658,93
918947,95658,95
918953,95658,95
918966,95658,95
918980,95658,94
918988,95658,94
918999,95658,94
919008,95658,93
919022,95658,96
919026,95658,96
919038,95658,94
919048,95658,95
919061,95658,93
919068,95658,95
919077,95658,95
919091,95658,94
919097,95658,94
919107,95658,93
919114,95658,95
919127,95658,94
919137,95658,94
919148,95658,94
919156,95658,93
919168,95658,94
919176,95658,98
919191,95658,94
919204,95658,96
919218,95658,94
919223,95658,95
919238,95658,94
919244,95658,92
919196,95658,95
919258,95658,95
919271,95658,96
918893,84450,95
918909,84450,78
918917,84450,93
918923,84450,93
918934,84450,100
918943,84450,93
918954,84450,82
918972,84450,95
918974,84450,96
918984,84450,93
918996,84450,78
919004,84450,94
919013,84450,93
919024,84450,93
919034,84450,69
919049,84450,68
919058,84450,93
919064,84450,95
919073,84450,94
919085,84450,86
919102,84450,95
919103,84450,94
919113,84450,95
919123,84450,94
919134,84450,93
919144,84450,92
919161,84450,85
919164,84450,92
919173,84450,97
919184,84450,93
919203,84450,18
919214,84450,96
919228,84450,93
919234,84450,94
919247,84450,95
919196,84450,95
919254,84450,90
919265,84450,94
918893,111457,95
918909,111457,66
918923,111457,93
918934,111457,100
918943,111457,93
918954,111457,93
918972,111457,95
918974,111457,96
918984,111457,78
918996,111457,95
919004,111457,94
919013,111457,93
919024,111457,93
919034,111457,76
919049,111457,94
919085,111457,94
919102,111457,37
919123,111457,12
919144,111457,47
919164,111457,92
919173,111457,97
919184,111457,93
919214,111457,96
919247,111457,64
919196,111457,95
919254,111457,90
919265,111457,67
918893,38411,95
918909,38411,95
918917,38411,93
918923,38411,93
918934,38411,100
918943,38411,93
918954,38411,93
918972,38411,95
918974,38411,96
918984,38411,93
918996,38411,95
919004,38411,94
919013,38411,93
919024,38411,93
919034,38411,96
919049,38411,94
919058,38411,93
919064,38411,95
919073,38411,45
