GN,D,c1_m,x_dist_goal
0,32.0836138163728,7.215373493975904,15.833072289156618
1,32.497648946526404,6.777152000000001,16.038959999999996
2,31.848125923980472,7.32088,15.663059999999994
3,32.35091000772421,7.0257599999999965,16.116240000000005
4,32.367320362975896,7.0622080000000045,16.088940000000004
5,32.54081229512239,6.88704,16.213259999999995
6,32.49096945758347,7.116880000000002,16.503060000000005
7,31.474970982787568,7.421792000000002,14.90706
8,31.994262520092242,6.857119999999998,15.332939999999988
9,32.47898993489242,6.6365279999999975,15.931440000000006
10,33.13449940023148,6.4461280000000025,16.765139999999995
11,31.49340840561601,7.2022879999999985,14.895299999999992
12,32.37187922481713,7.014607999999998,16.139759999999995
13,32.383137472624774,6.885408000000001,15.872640000000006
14,32.61247973138384,6.304688000000003,15.658439999999986
15,31.82182229357179,7.358960000000007,15.596699999999988
16,31.75329430735862,7.24064,15.422819999999996
17,32.325741497575365,6.536160000000003,15.290939999999999
18,32.76935065864151,6.782592000000002,16.411500000000004
19,32.1936540609735,7.101920000000001,16.025100000000005
20,32.79009973845803,6.5592799999999984,16.198139999999995
21,32.16020962592597,6.722752000000001,15.257340000000003
22,32.462778720052434,6.688208,15.730260000000008
23,32.02708313041159,6.880511999999999,15.382079999999997
24,32.745530573103814,6.807888000000001,16.61981999999999
25,32.27934107873405,6.656384000000004,15.444659999999997
26,31.74079762447514,7.143807999999997,15.564780000000004
27,32.70475992015271,6.552208000000001,16.003680000000003
28,32.00499439304926,6.595456,14.781480000000014
29,33.15313117393617,6.377584000000002,16.866359999999997
30,31.997025090582927,7.321968000000003,15.583679999999998
31,32.763375510769926,6.237503999999998,15.910860000000005
32,32.06366128089804,7.0420799999999995,15.826020000000003
33,32.603072496906464,6.642512000000002,15.931860000000015
34,33.2005280807914,5.927423999999997,16.096919999999997
35,32.026388706127236,6.817408000000002,15.327480000000005
36,32.83167080501311,6.640335999999994,16.234680000000004
37,32.62888561043748,6.441775999999999,15.539579999999994
38,32.025321996696526,7.083695999999998,15.669779999999998
39,31.869083260212115,7.306191999999999,15.765539999999996
40,32.84689760963987,6.1967039999999995,15.649199999999995
41,32.31258133996022,6.828559999999996,15.960839999999994
42,32.30772682063417,6.719215999999993,15.394260000000003
43,33.02713906551129,6.4240960000000005,16.34513999999999
44,32.29655802542288,6.993936000000005,16.127580000000002
45,32.13425013180317,6.709968000000003,15.261119999999988
46,31.81080163632919,7.064928000000001,14.929319999999995
47,32.7508394572503,6.7173120000000015,16.289699999999996
48,32.96549525825613,6.104496000000005,15.968400000000006
49,32.0676853648075,6.761648000000001,15.151079999999997
50,32.479582162745324,6.7145919999999935,16.044419999999995
51,31.9880317905189,7.192496000000004,15.808379999999998
52,32.96884045408141,6.552479999999997,16.56606
53,32.372804098852065,6.351744000000002,15.192659999999988
54,32.418666859718556,7.545551999999999,17.087280000000007
55,32.41622334006338,7.2090879999999995,16.568999999999985
56,32.4799491224713,6.889216000000004,16.07088000000001
